source_question_id,question_name,category_path,input_count,prt_count,node_count,exit_outcome_count,simple_single_prt,outcome_codes,curriculum_concept_id
220747,Find median in grouped data,Grade 9 > 5.0. Data Handling & Probability > 5.1 Data Interpretation (Grouped Data) > 5.1.5 Determining the median of grouped data,5,5,9,14,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F | prt4-1-T | prt4-1-F | prt5-1-T | prt5-2-T | prt5-3-T | prt5-4-T | prt5-5-T | prt5-5-F,
207582,Addition of integers (cupcakes),Grade 9 > 1.0. Whole Numbers > 1.1 Integers,1,1,1,2,True,prt1-1-T | prt1-1-F,
207630,Combined operations of integers,Grade 9 > 1.0. Whole Numbers > 1.1 Integers,1,1,1,2,True,prt1-1-T | prt1-1-F,
207589,Division of integers (apples),Grade 9 > 1.0. Whole Numbers > 1.1 Integers,1,1,1,2,True,prt1-1-T | prt1-1-F,
207591,Multiplication of integers,Grade 9 > 1.0. Whole Numbers > 1.1 Integers,1,1,1,2,True,prt1-1-T | prt1-1-F,
207596,Subtraction of integers,Grade 9 > 1.0. Whole Numbers > 1.1 Integers,1,1,1,2,True,prt1-1-T | prt1-1-F,
207420,Applying negative index rules to find missing exponents in a given equation,Grade 9 > 1.0. Whole Numbers > Indices and Logarithms,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207419,Applying the Zero Exponent Law in Simplifying Expressions,Grade 9 > 1.0. Whole Numbers > Indices and Logarithms,1,1,1,2,True,prt1-1-T | prt1-1-F,
206793,Expressing numbers in index form,Grade 9 > 1.0. Whole Numbers > Indices and Logarithms,8,8,8,16,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F | prt4-1-T | prt4-1-F | prt5-1-T | prt5-1-F | prt6-1-T | prt6-1-F | prt7-1-T | prt7-1-F | prt8-1-T | prt8-1-F,
206946,"Using multiplicative, divisive, and bracket laws of indices to simplify powers",Grade 9 > 1.0. Whole Numbers > Indices and Logarithms,8,8,8,16,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F | prt4-1-T | prt4-1-F | prt5-1-T | prt5-1-F | prt6-1-T | prt6-1-F | prt7-1-T | prt7-1-F | prt8-1-T | prt8-1-F,
206873,Writing numbers as single power of a prime.,Grade 9 > 1.0. Whole Numbers > Indices and Logarithms,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
206819,Writing numbers in simplest index form as a product of a number and a power,Grade 9 > 1.0. Whole Numbers > Indices and Logarithms,3,3,3,6,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F,
207542,Finding the number of days taken by a given number of men to complete the same piece of work.,Grade 9 > 1.0. Whole Numbers > Compound proportions and Rates of work,1,1,1,2,True,prt1-1-T | prt1-1-F,
207534,Finding the unknown number in a continuous proportion,Grade 9 > 1.0. Whole Numbers > Compound proportions and Rates of work,1,1,1,2,True,prt1-1-T | prt1-1-F,
207646,Relating different ratios from a given statement.,Grade 9 > 1.0. Whole Numbers > Compound proportions and Rates of work,2,2,6,8,False,prt1-1-T | prt1-2-T | prt1-3-T | prt1-3-F | prt2-1-T | prt2-2-T | prt2-3-T | prt2-3-F,
207616,Using ratios to determine the number of boys in a class,Grade 9 > 1.0. Whole Numbers > Compound proportions and Rates of work,1,1,3,4,False,prt1-1-T | prt1-2-T | prt1-3-T | prt1-3-F,
207350,Determining gradient of perpendicular lines,Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,1,1,1,2,True,prt1-1-T | prt1-1-F,
207413,Determining gradient of perpendicular lines (1),Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,2,2,4,6,False,prt1-1-T | prt1-2-T | prt1-2-F | prt2-1-T | prt2-2-T | prt2-2-F,
207416,Determining gradients of perpendicular lines (2),Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,2,2,4,6,False,prt1-1-T | prt1-2-T | prt1-2-F | prt2-1-T | prt2-2-T | prt2-2-F,
207059,Determining the equation of a straight line.,Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,1,1,2,3,False,prt1-1-T | prt1-2-T | prt1-2-F,
207412,Determining the gradients of parallel lines (1),Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,2,2,4,6,False,prt1-1-T | prt1-2-T | prt1-2-F | prt2-1-T | prt2-2-T | prt2-2-F,
207411,Determining the gradients of parallel lines (2),Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,2,2,4,6,False,prt1-1-T | prt1-2-T | prt1-2-F | prt2-1-T | prt2-2-T | prt2-2-F,
207339,Identifying graphs of parallel lines.,Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,2,1,2,2,False,prt1-2-T | prt1-2-F,
207341,Identifying graphs of perpendicular lines,Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,2,1,2,2,False,prt1-2-T | prt1-2-F,
206961,Interactive: Plottimg points on a Cartesian plane,Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,2,1,4,3,False,prt1-2-T | prt1-4-T | prt1-4-F,
207067,Interactive: Sketching Straight Line graphs y=mx+c,Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,2,1,7,2,False,prt1-7-T | prt1-7-F,
207346,Select the pairs of equations of parallel lines,Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,1,1,1,2,True,prt1-1-T | prt1-1-F,
206939,Writing down coordinates of a points in a graph.,Grade 9 > 4.0 Geometry > 4.1 Coordinates and Graphs,4,1,8,3,False,prt1-6-T | prt1-8-T | prt1-8-F,
207606,Determining the bearing of a point from another.(1),Grade 9 > 4.0 Geometry > 4.2 Scale Drawing,2,2,4,6,False,prt1-1-T | prt1-2-T | prt1-2-F | prt2-1-T | prt2-2-T | prt2-2-F,
207613,Determining the beraing of a point from another (2),Grade 9 > 4.0 Geometry > 4.2 Scale Drawing,1,1,2,3,False,prt1-1-T | prt1-2-T | prt1-2-F,
207505,Identifying compass and true bearing,Grade 9 > 4.0 Geometry > 4.2 Scale Drawing,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207517,Identifying compass and true bearing (2),Grade 9 > 4.0 Geometry > 4.2 Scale Drawing,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207532,Identifying compass and true bearing (3),Grade 9 > 4.0 Geometry > 4.2 Scale Drawing,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207541,Identifying compass and true bearing (4),Grade 9 > 4.0 Geometry > 4.2 Scale Drawing,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207829,Locating a point using bearing and distance (2),Grade 9 > 4.0 Geometry > 4.2 Scale Drawing,3,3,3,6,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F,
207667,Locating a point using bearing and distance(1),Grade 9 > 4.0 Geometry > 4.2 Scale Drawing,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
208044,Locating points using bearing and distance(3),Grade 9 > 4.0 Geometry > 4.2 Scale Drawing,1,1,1,2,True,prt1-1-T | prt1-1-F,
222191,5.0.17 (Solve tan trig equation),Grade 9 > 4.0 Geometry > 4.4 Trigonometry,1,1,1,2,True,prt1-1-T | prt1-1-F,
207288,Identifying Meal Distribution Matrices for School Classes Over Two Days,Grade 9 > 2.0. Algebra > 2.1 Matrices,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
235623,Calculating cubes of numbers having decimal,Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cubes,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207479,Calculating cubes of positive number,Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cubes,2,2,3,5,False,prt1-1-T | prt1-2-T | prt1-2-F | prt2-1-T | prt2-1-F,
235537,Calculating cubes using a mathematical table,Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cubes,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207474,Cubes  of negative numbers.,Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cubes,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207522,Finding cubes of numbers using a calculator,Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cubes,4,4,4,8,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F | prt4-1-T | prt4-1-F,
207484,Finding the cubes of unknown (letters).,Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cubes,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207455,Calculating cube root of positive numbers.,Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cube root,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207477,Calculating cube root of unknown (letters),Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cube root,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207643,Calculating cube root using a calculator,Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cube root,4,4,4,8,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F | prt4-1-T | prt4-1-F,
207463,Cube root of  numbers having decimals,Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cube root,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
207457,Finding cube root of negative numbers,Grade 9 > 1.0. Whole Numbers > 1.2 Cubes and Cube roots > Cube root,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
221909,Calculating the length of the right angled triangle,Grade 9 > 4.0 Geometry > 4.4 Trigonometry > Applying trigonometric ratios to calculate lengths and angles of right angled triangles,1,1,1,2,True,prt1-1-T | prt1-1-F,
221908,Finding the value of unknown angle using trigonometric ratio.,Grade 9 > 4.0 Geometry > 4.4 Trigonometry > Applying trigonometric ratios to calculate lengths and angles of right angled triangles,3,3,6,9,False,prt1-1-T | prt1-2-T | prt1-2-F | prt2-1-T | prt2-2-T | prt2-2-F | prt3-1-T | prt3-2-T | prt3-2-F,
221194,Identifying sides of right angled triangle.,Grade 9 > 4.0 Geometry > 4.4 Trigonometry > Identifying Angles and Sides of Right Angled Triangles,3,3,3,6,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F,
221196,"Determining the sine, cosine and tangent of an angle.","Grade 9 > 4.0 Geometry > 4.4 Trigonometry > Identifying Sine, Cosine and Tangent Ratios from a Right Angled Triangle",6,6,6,12,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F | prt4-1-T | prt4-1-F | prt5-1-T | prt5-1-F | prt6-1-T | prt6-1-F,
221207,"Calculating sines,cosines and tangents of acute angles using a mathematical table",Grade 9 > 4.0 Geometry > 4.4 Trigonometry > Reading Tables of Trigonometric Ratios For Acute Angles,3,3,3,6,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F,
221209,"Calculating sines,cosines and tangents of acute angles using a calculator",Grade 9 > 4.0 Geometry > 4.4 Trigonometry > Determining Trigonometric Ratios of Acute Angles Using Calculators,3,3,3,6,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F,
221322,Determining similar figures,Grade 9 > 4.0 Geometry > 4.3 Similarity and Enlargement > Identifying Similar Figures and Their Properties,1,1,1,2,True,prt1-1-T | prt1-1-F,
221366,Determining the linear scale factor.,Grade 9 > 4.0 Geometry > 4.3 Similarity and Enlargement > Determining The Linear Scale Factor of Similar Figures,2,2,3,5,False,prt1-1-T | prt1-2-T | prt1-2-F | prt2-1-T | prt2-1-F,
207546,Finding the Area of a Regular Pentagon,Grade 9 > 3.0. Measurements > 3.1 Area > Area of a Pentagon,1,1,2,3,False,prt1-1-T | prt1-2-T | prt1-2-F,
222168,Finding the area of a regular pentagon shaped Park,Grade 9 > 3.0. Measurements > 3.1 Area > Area of a Pentagon,1,1,1,2,True,prt1-1-T | prt1-1-F,
222155,Finding the Area of a Regular Pentagon Using the Area of One Congruent Triangle,Grade 9 > 3.0. Measurements > 3.1 Area > Area of a Pentagon,1,1,1,2,True,prt1-1-T | prt1-1-F,
207638,Area and Cost of a Hexagonal Trampoline Cover,Grade 9 > 3.0. Measurements > 3.1 Area > Area of hexagon,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
222193,Calculating the Floor Area Using Regular Hexagon Tiles,Grade 9 > 3.0. Measurements > 3.1 Area > Area of hexagon,2,2,2,4,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F,
222200,Finding the Area of a Regular Hexagon,Grade 9 > 3.0. Measurements > 3.1 Area > Area of hexagon,1,1,1,2,True,prt1-1-T | prt1-1-F,
222222,Finding the Surface Area of a Composite Solid,Grade 9 > 3.0. Measurements > 3.1 Area > Surface area of triangular based prism,3,3,7,10,False,prt1-1-T | prt1-2-T | prt1-2-F | prt2-1-T | prt2-2-T | prt2-2-F | prt3-1-T | prt3-2-T | prt3-3-T | prt3-3-F,
222221,Finding the Surface Area of a Triangular Prism,Grade 9 > 3.0. Measurements > 3.1 Area > Surface area of triangular based prism,3,3,3,6,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F,
222215,Finding the Surface Area of a Triangular Prism (Tent Problem),Grade 9 > 3.0. Measurements > 3.1 Area > Surface area of triangular based prism,1,1,1,2,True,prt1-1-T | prt1-1-F,
222251,Calculating the speed of an airplane given distance and time,"Grade 9 > 3.0. Measurements > Time, Distance and Speed > Speed in km > hr",1,1,1,2,True,prt1-1-T | prt1-1-F,
